N° interne,N° SA,SN1/SN2, Famille  de situation,Problématique exemplaire,Urgences-SN1,Ped Ambu,SN2-Gynéco,Titre,Spécialité,5 types d'étapes de raisonnement,2 types d'étapes du raisonnement,Item,RC,Compétences,Compétences certifiées,Notes
2,19,SN1-1,FS01,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,SN2 avant Pôle femme,SA 9 : Grille de Calgary,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
2,20,SN1-1,FS09,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,SN2 avant Pôle femme,SA 10 : Grille Calgary 2,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
3,21,SN1-1,FS01,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,Pôle femme avant SN2,SA01_03,Endocrinologie,Prévention-Education,Autre,Troubles nutritionnels chez le sujet âgé,SÉNILITÉ (SUJET ÂGÉ FRAGILE),"Éducation, prévention, dépistage, santé individuelle et communautaire",,
3,22,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Pôle femme avant SN2,SA01_04,Endocrinologie,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
3,23,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Pôle femme avant SN2,SA02_01,Orthopédie,PEC-ttt,PEC-ttt,Complications de l'immobilité et du décubitus. Prévention et prise en charge,ENTORSE,"Premier recours, urgences",,
3,24,SN1-1,FS07,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,Pôle femme avant SN2,SA07_01,Psychiatrie,PEC-ttt,PEC-ttt,"Diagnostiquer : un trouble dépressif, un trouble anxieux généralisé, un trouble panique, un trouble phobique, un trouble obsessionnel compulsif, un état de stress post-traumatique, un trouble de l'adaptation (de l'enfant à la personne âgée), un trouble de la personnalité",DÉPRESSION,"Approche globale, prise en compte de la complexité",,
3,25,SN1-1,FS10,Procédures médico-administratives,Urgences avant SN1,non,Pôle femme avant SN2,SA10_03,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,Sujets en situation de précarité,PROCÉDURE ADMINISTRATIVE,"Relation, communication, approche centrée patient",['C1NnD4' 'C1NnD6' 'C1NnD7' 'C1NnD1' 'C4NnD1' 'C5NnD2' 'C2NnD2'],
3,26,SN1-1,FS09,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Pôle femme avant SN2,SA09_1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD7' 'C1NiD2' 'C1NiD4' 'C1NiD3'],
3,27,SN1-1,FS06,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,Pôle femme avant SN2,SA06_02,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient","['C1NnD2' 'C1NnD4' 'C1NnD5' 'C1NnD1' 'C1NiD5' 'C2NiD2' 'C5NnD1' 'C6NnD2'
 'C6NiD3']",
3,28,SN1-1,FS10,Procédures médico-administratives,Urgences avant SN1,non,Pôle femme avant SN2,SA10_02,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Approche globale, prise en compte de la complexité",['C1NnD2' 'C2NnD3' 'C2NID1' 'C2NnD2'],
3,29,SN1-1,FS03,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,Pôle femme avant SN2,SA03_02,Rhumatologie,Diagnostic,Diagnostic,Douleur et épanchement articulaire. Arthrite d'évolution récente,GOUTTE,"Premier recours, urgences",,
3,30,SN1-1,FS05,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Pôle femme avant SN2,SA01_05,Psychiatrie,Diagnostic,Diagnostic,Troubles psychiques de la grossesse et du post-partum,POST-PARTUM (COMPLICATION),"Éducation, prévention, dépistage, santé individuelle et communautaire",,
4,31,SN1-1,FS01,Pratique de gestes techniques utiles en soins primaires,Urgences avant SN1,non,SN2 avant Pôle femme,SA 1 TA manuelle,Cardiologie,Diagnostic,Diagnostic,Hypertension artérielle de l'adulte et de l’enfant,HTA,"Premier recours, urgences",,
4,32,SN1-1,FS02,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,SN2 avant Pôle femme,SA 2 vitamine B IM perte de cheveux,Dermatologie,PEC-ttt,PEC-ttt,?,CHEVEUX (CHUTE),"Approche globale, prise en compte de la complexité",,
4,33,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,SN2 avant Pôle femme,SA 3 vitamine D pour peau noire,Rhumatologie,Prévention-Education,Autre,Ostéopathies fragilisantes,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
4,34,SN1-1,FS01,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,SA 4 Reflets Coralie SAMBA,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD5' 'C1NnD1' 'C5NnD6'],
4,35,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA 5 SIBO,Gastroentérologie,PEC-ttt,PEC-ttt,Douleur abdominale aiguë chez l'enfant et chez l'adulte,PLAINTE ABDOMINALE,"Approche globale, prise en compte de la complexité",C4NiD2,
4,36,SN1-1,FS04,Situations de soins non programmés vous ayant posé problème,Urgences avant SN1,non,SN2 avant Pôle femme,SA 6  Dermocorticoïdes,Dermatologie,PEC-ttt,PEC-ttt,"Hypersensibilités et allergies cutanéomuqueuses chez l'enfant et l'adulte. Urticaire, dermatites atopique et de contact, conjonctivite allergique.",ECZÉMA,"Premier recours, urgences",C5NnD3,
4,37,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA 7 Thé et anémie,Gastroentérologie,PEC-ttt,PEC-ttt,Pathologie du fer chez l'adulte et l'enfant,ANÉMIE FERRIPRIVE – CARENCE EN FER,"Éducation, prévention, dépistage, santé individuelle et communautaire",C2NnD3,
4,38,SN1-1,FS01,Incidents iatrogènes nouvellement rencontrés,Urgences avant SN1,non,SN2 avant Pôle femme,SA 8 Méningiome et progestatifs,Gynécologie,PEC-ttt,PEC-ttt,Contraception,CONTRACEPTION,"Approche globale, prise en compte de la complexité",C3NnD4,
4,39,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA  9 Régime sans résidu,Gastroentérologie,PEC-ttt,PEC-ttt,"Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte",DIARRHÉE - NAUSÉE - VOMISSEMENT,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NnD1' 'C3NnD3'],
4,40,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,SN2 avant Pôle femme,SA 10 cigarette électronique,Pneumologie,PEC-ttt,PEC-ttt,Addiction au tabac,TABAGISME,"Éducation, prévention, dépistage, santé individuelle et communautaire",C2NnD3,
4,41,SN1-1,FS10,Procédures médico-administratives,Urgences avant SN1,non,SN2 avant Pôle femme,SA 11 Précarité et aide sociale,Santé publique (Administratif/Social),Administratif-Social,Autre,Sujets en situation de précarité,PROCÉDURE ADMINISTRATIVE,"Approche globale, prise en compte de la complexité",['C1NnD1' 'C1NiD7' 'C2NID1' 'C2NnD2'],
5,42,SN1-1,FS04,Pratique de gestes techniques utiles en soins primaires,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-1 Streptotest,Pédiatrie,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD6' 'C1NnD7' 'C5NnD7'],
5,43,SN1-1,FS01,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-2 Ressenti patients/présence interne,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C6NnD2' 'C6NnD3' 'C2NnD2'],
5,44,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-3 Certificats médicaux,Santé publique (Administratif/Social),Administratif-Social,Autre,Certificats médicaux. Décès et législation,PROCÉDURE ADMINISTRATIVE,Professionnalisme,['C2NnD3' 'C2NiD5'],
5,45,SN1-1,FS02,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-4 Grille Calgary simplifiée 1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C5NnD6' 'C3NnD5'],
5,46,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-5 Antidépresseurs,Psychiatrie,PEC-ttt,PEC-ttt,Prescription et surveillance des psychotropes,DÉPRESSION,"Approche globale, prise en compte de la complexité",['C2NID1' 'C5NiD3'],
5,47,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-6 Motivation arrêt tabac,Pneumologie,PEC-ttt,PEC-ttt,Addiction au tabac,TABAGISME,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C1NnD7' 'C3NnD3' 'C2NnD2'],
5,48,SN1-1,FS02,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-7 Grille de Calgary 2,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD7' 'C4NnD1'],
5,49,SN1-1,FS06,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,SA S2-8 Conflit familial,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD3' 'C1NnD4' 'C6NiD3'],
5,50,SN1-1,FS02,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,SN2 avant Pôle femme,Corticoïdes ou AINS,Rhumatologie,PEC-ttt,PEC-ttt,"Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l'épaule",ÉPAULE (TÉNOSYNOVITE),"Approche globale, prise en compte de la complexité",['C2NnD3' 'C3NnD4' 'C2NiD5'],
5,51,SN1-1,FS04,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,Prévention de l'exposition aux écrans,Pédiatrie,Prévention-Education,Autre,Prévention et prise en charge,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NiD5' 'C6NiD1'],
6,52,SN1-1,FS02,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Syndrome de Tietze,Orthopédie,Diag+PEC,Diag+PEC,Douleur thoracique aiguë,ANGOR -INSUFFISANCE CORONARIENNE,"Premier recours, urgences",C4NnD3,
6,53,SN1-1,FS02,Pratique de gestes techniques utiles en soins primaires,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Vaccination,Infectiologie,PEC-ttt,PEC-ttt,Vaccinations,VACCINATION,"Premier recours, urgences",,
6,54,SN1-1,FS10,Procédures médico-administratives,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Maladie professionnelle pour trouble psychique,Santé publique (Administratif/Social),Administratif-Social,Autre,Accidents du travail et maladies professionnelles : définitions et enjeux,PROCÉDURE ADMINISTRATIVE,"Approche globale, prise en compte de la complexité",C5NnD1,
6,55,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Utilisation du magnésium,Endocrinologie,PEC-ttt,PEC-ttt,"Principes de la médecine intégrative, utilité et risques des interventions non médicamenteuses et des thérapies complémentaires",ASTHÉNIE - FATIGUE,"Premier recours, urgences",C2NnD3,
6,56,SN1-1,FS09,Incidents iatrogènes nouvellement rencontrés,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Alternative aux statines,Cardiologie,PEC-ttt,PEC-ttt,Dyslipidémies,DYSLIPIDÉMIE,"Premier recours, urgences",,
6,57,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Certificat de sport,Cardiologie,Administratif-Social,Autre,Aptitude au sport chez l'adulte et l'enfant ; besoins nutritionnels chez le sportif,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
6,58,SN1-1,FS01,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Découverte de tumeur,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",CANCER,"Relation, communication, approche centrée patient",['C1NnD3' 'C1NnD4' 'C1NnD1'],
6,59,SN1-1,FS10,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Calgary 1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",C1NnD3,
6,60,SN1-1,FS02,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Grille de Calgary 2,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
6,61,SN1-1,FS01,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,Aucun des deux n'a été réalisé,Grille de Calgary 3,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
7,62,SN1-1,FS07,Procédures médico-administratives,SN1 avant Urgences,non,SN2 avant Pôle femme,SA2-5,Santé publique (Administratif/Social),Administratif-Social,Autre,La sécurité sociale. L'assurance maladie. Les assurances complémentaires. La complémentaire santé solidaire (CSS). La consommation médicale. Protection sociale. Consommation médicale et économie de la santé.,PROCÉDURE ADMINISTRATIVE,"Continuité, suivi, coordination des soins autour du patient",,
7,63,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,SN1 avant Urgences,non,SN2 avant Pôle femme,SA3-2 HTA,Cardiologie,PEC-ttt,PEC-ttt,Hypertension artérielle de l'adulte et de l’enfant,HTA,"Premier recours, urgences",['C4NnD3' 'C5NiD2' 'C5NiD3' 'C6NiD1' 'C6NiD3'],
7,64,SN1-1,FS01,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,SN1 avant Urgences,non,SN2 avant Pôle femme,SA4-10 antidépresseurs,Psychiatrie,PEC-ttt,PEC-ttt,Prescription et surveillance des psychotropes,DÉPRESSION,"Continuité, suivi, coordination des soins autour du patient",['C1NnD1' 'C5NnD5'],
7,65,SN1-1,FS07,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,SN1 avant Urgences,non,SN2 avant Pôle femme,SA5-8,Psychiatrie,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",C3NnD5,
7,66,SN1-1,FS02,Situations de soins non programmés vous ayant posé problème,SN1 avant Urgences,non,SN2 avant Pôle femme,SA6-6,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD4' 'C6NnD4' 'C2NnD2'],
